Cidade Considerada;Regiao Administrativa;Ano Obito;Mes Obito;Mes Descricao;Sexo;Turno;Tipo Acidente;Tipo Veiculo;Faixa Etaria;Idade;Hora Acidente;Tipo Vitima;Tipo Local do Acidente;Dia Semana;Tipo de Via;LAT_(geo);LONG_(geo);Rua / Rodovia
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;88;;PEDESTRE;PRIVADO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;82;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
OSASCO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MANHA;NAO DISPONIVEL;NAO DISPONIVEL;18-24;19;;NAO DISPONIVEL;NAO DISPONIVEL;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;70-74;73;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;45-49;47;;PEDESTRE;NAO DISPONIVEL;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;44;;PEDESTRE;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;30-34;34;;NAO DISPONIVEL;NAO DISPONIVEL;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;AUTOMOVEL;55-59;55;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;TARDE;NAO DISPONIVEL;NAO DISPONIVEL;18-24;23;;NAO DISPONIVEL;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;43;;PEDESTRE;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;40-44;44;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;18-24;19;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;83;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;MADRUGADA;NAO DISPONIVEL;MOTOCICLETA;25-29;25;;PASSAGEIRO;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;18;;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;18-24;18;;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;NOITE;OUTROS;MOTOCICLETA;45-49;47;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;FEMININO;NOITE;COLISAO;AUTOMOVEL;25-29;29;;PASSAGEIRO;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;60-64;60;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;46;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;10;OUTUBRO;MASCULINO;NOITE;COLISAO;AUTOMOVEL;18-24;18;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;FEMININO;MANHA;COLISAO;MOTOCICLETA;35-39;37;;PASSAGEIRO;PUBLICO;TERCA;Rodovias;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;FEMININO;MANHA;COLISAO;MOTOCICLETA;40-44;43;;CONDUTOR;PUBLICO;TERCA;Rodovias;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;53;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;40-44;42;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MANHA;OUTROS;AUTOMOVEL;40-44;42;;PASSAGEIRO;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MADRUGADA;CHOQUE;AUTOMOVEL;55-59;55;;CONDUTOR;PRIVADO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;30-34;33;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;NOITE;NAO DISPONIVEL;AUTOMOVEL;40-44;41;;NAO DISPONIVEL;NAO DISPONIVEL;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;41;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;45-49;49;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;TARDE;COLISAO;AUTOMOVEL;45-49;49;;PASSAGEIRO;PUBLICO;SEGUNDA;Rodovias;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;MASCULINO;TARDE;CHOQUE;AUTOMOVEL;45-49;46;;CONDUTOR;PUBLICO;QUINTA;Rodovias;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;52;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;TARDE;NAO DISPONIVEL;NAO DISPONIVEL;45-49;46;;NAO DISPONIVEL;NAO DISPONIVEL;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;65-69;69;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;MANHA;OUTROS;OUTROS;65-69;67;;PASSAGEIRO;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;18-24;20;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;70-74;72;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
